Name,Description,Confidence,Website,Categories
Node.js,"Node.js is an open-source, cross-platform, JavaScript runtime environment that executes JavaScript code outside a web browser.",100%,https://nodejs.org,Programming languages
Brightcove,Brightcove is a cloud-based online video platform.,100%,https://www.brightcove.com,Video players
React,React is an open-source JavaScript library for building user interfaces or UI components.,100%,https://reactjs.org,JavaScript frameworks
Emotion,Emotion is a library designed for writing CSS styles with JavaScript.,100%,https://emotion.sh,JavaScript frameworks|Development
Nginx,"Nginx is a web server that can also be used as a reverse proxy, load balancer, mail proxy and HTTP cache.",100%,https://nginx.org/en,Web servers|Reverse proxies
Express,"Express is a web application framework for Node.js, released as free and open-source software under the MIT License. It is designed for building web applications and APIs.",100%,https://expressjs.com,Web frameworks|Web servers
OneTrust,OneTrust is a cloud-based data privacy management compliance platform.,100%,https://www.onetrust.com,Cookie compliance
Google Tag Manager,Google Tag Manager is a tag management system (TMS) that allows you to quickly and easily update measurement codes and related code fragments collectively known as tags on your website or mobile app.,100%,https://www.google.com/tagmanager,Tag managers
Amplitude,"Amplitude is a web and mobile analytics solution with cross-platform user journey tracking, user behavior analysis and segmentation capabilities.",100%,https://amplitude.com,Analytics
reCAPTCHA,reCAPTCHA is a free service from Google that helps protect websites from spam and abuse.,100%,https://www.google.com/recaptcha/,Security
Google Analytics,Google Analytics is a free web analytics service that tracks and reports website traffic.,100%,https://google.com/analytics,Analytics
Chartbeat,,100%,https://chartbeat.com,Analytics
Priority Hints,Priority Hints exposes a mechanism for developers to signal a relative priority for browsers to consider when fetching resources.,100%,https://wicg.github.io/priority-hints/,Performance
Loadable-Components,Loadable-Components is a library to solve the React code-splitting client-side and server-side.,100%,https://github.com/gregberge/loadable-components,JavaScript libraries
web-vitals,"The web-vitals JavaScript is a tiny, modular library for measuring all the web vitals metrics on real users.",100%,https://github.com/GoogleChrome/web-vitals,JavaScript libraries|RUM
HSTS,HTTP Strict Transport Security (HSTS) informs browsers that the site should only be accessed using HTTPS.,100%,https://www.rfc-editor.org/rfc/rfc6797#section-6.1,Security
DigiCert,,100%,https://www.digicert.com/,SSL/TLS certificate authorities
RSS,"RSS is a family of web feed formats used to publish frequently updated works—such as blog entries, news headlines, audio, and video—in a standardized format.",100%,https://www.rssboard.org/rss-specification,Miscellaneous
Open Graph,Open Graph is a protocol that is used to integrate any web page into the social graph.,100%,https://ogp.me,Miscellaneous
